# Mortal Warcraft Custom Spells - Ready for WDBX Editor Import
# Format: CSV compatible with Spell.dbc (3.3.5a - Build 12340)
# 
# Field Order (partial, key fields only):
# ID,Name_Lang_enUS,Description_Lang_enUS,DurationIndex,RangeIndex,SpellIconID,ActiveIconID,SchoolMask,Category,CastingTimeIndex,RecoveryTime,StartRecoveryCategory,StartRecoveryTime,Effect_1,EffectDieSides_1,EffectBaseDice_1,EffectDicePerLevel_1,EffectRealPointsPerLevel_1,EffectBasePoints_1,EffectMechanic_1,EffectImplicitTargetA_1,EffectImplicitTargetB_1,EffectRadiusIndex_1,EffectApplyAuraName_1,EffectAmplitude_1,EffectMultipleValue_1,EffectMiscValue_1,EffectMiscValueB_1,EffectTriggerSpell_1,SpellVisual_1,SpellVisual_2,ManaCost,Attributes,AttributesEx,AttributesEx2,AttributesEx3,AttributesEx4,AttributesEx5,AttributesEx6,AttributesEx7

# BRACE MECHANIC (ID: 90010)
90033,Encumbered: Overloaded,Carrying capacity between 100-125 percent. Movement speed reduced by 50 percent. Cannot jump.,21,1,13,13,1,0,1,0,0,0,6,0,0,0,0,-50,0,1,0,0,109,0,0,0,0,0,6947,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
90034,Encumbered: Immobile,Carrying capacity over 125 percent. Movement speed reduced by 90 percent. Cannot jump.,21,1,14,14,1,0,1,0,0,0,6,0,0,0,0,-90,0,1,0,0,109,0,0,0,0,0,6947,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000

# CRIME FLAG VISUAL (ID: 90040)
90040,Criminal,Marked as a criminal. Guards will attack on sight.,8,1,20,20,32,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,22027,0,0,0x00000000,0x00000000,0x00000000,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000

# TRACKING ABILITIES (Already in vanilla Spell.dbc - these are REFERENCE entries, not new additions)
# 5225,Track Humanoids,Track Humanoids on minimap.,21,1,132,132,1,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0,4,0,0,2,0,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
# 1494,Track Beasts,Track Beasts on minimap.,21,1,133,133,1,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
# (... other tracking spells already exist in vanilla)

# RIFT PARTICIPANT AURA (ID: 900100) - Elden's Eve Layer
900100,Rift Participant,Participating in a planar rift event. Hidden marker aura.,21,1,0,0,1,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0x00000100,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000

# TRACKING VARIANTS FOR MORTAL SYSTEM
90050,Track Players,Track nearby players on minimap.,21,1,132,132,1,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0,4,0,0,8,0,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
90051,Detect Stealth,Greatly increases your stealth detection.,21,1,136,136,1,0,1,0,0,0,6,0,0,0,0,50,0,1,0,0,151,0,0,0,0,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
90052,Track Resources,Track resource nodes on minimap.,21,1,135,135,1,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0,4,0,0,7,0,0,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000

